N    Z    A    Elt.   Mass                        
 92   65  157 Tb    156924031.888       1.092
 91   66  157 Dy    156925469.555       5.532
 90   67  157 Ho    156928251.974      25.194
 89   68  157 Er    156931922.652      28.454
 88   69  157 Tm    156936973.000      30.000
 87   70  157 Yb    156942651.368      11.706
 86   71  157 Lu    156950144.807      12.961
 85   72  157 Hf    156958288#        215#
 84   73  157 Ta    156968227.445     161.087
 83   74  157 W     156978862#        429#
100   58  158 Ce    157960773#        429#
 99   59  158 Pr    157952603#        322#
 98   60  158 Nd    157942205.620       1.400
 97   61  158 Pm    157936546.948       0.953
 96   62  158 Sm    157929949.262       5.133
 95   63  158 Eu    157927782.192       2.181
 94   64  158 Gd    157924111.200       1.048
 93   65  158 Tb    157925419.942       1.360
 92   66  158 Dy    157924414.817       2.509
 91   67  158 Ho    157928944.910      29.099
 90   68  158 Er    157929893.474      27.074
 89   69  158 Tm    157936979.525      27.074
 88   70  158 Yb    157939871.202       8.559
 87   71  158 Lu    157949315.620      16.236
 86   72  158 Hf    157954801.217      18.780
 85   73  158 Ta    157966593#        215#
 84   74  158 W     157974565#        322#
101   58  159 Ce    158966355#        537#
100   59  159 Pr    158956232#        429#
 99   60  159 Nd    158946619.085      32.000
 98   61  159 Pm    158939286.409      10.777
 97   62  159 Sm    158933217.130       6.370
 96   63  159 Eu    158929099.512       4.637
 95   64  159 Gd    158926395.822       1.051
 94   65  159 Tb    158925353.707       1.184
 93   66  159 Dy    158925745.938       1.544
 92   67  159 Ho    158927718.683       3.268
 91   68  159 Er    158930690.790       3.910
 90   69  159 Tm    158934975.000      30.000
 89   70  159 Yb    158940060.257      18.874
 88   71  159 Lu    158946635.615      40.433
 87   72  159 Hf    158953995.837      18.049
 86   73  159 Ta    158963028.046      21.137
 85   74  159 W     158972696#        322#
 84   75  159 Re    158984106#        327#
101   59  160 Pr    159961138#        429#
100   60  160 Nd    159949839.172      50.000
 99   61  160 Pm    159943215.272       2.200
 98   62  160 Sm    159935337.032       2.100
 97   63  160 Eu    159931836.982       0.970
 96   64  160 Gd    159927061.202       1.206
 95   65  160 Tb    159927174.553       1.191
 94   66  160 Dy    159925203.578       0.751
 93   67  160 Ho    159928735.538      16.120
 92   68  160 Er    159929077.193      26.029
 91   69  160 Tm    159935264.177      35.089
 90   70  160 Yb    159937559.210       5.900
 89   71  160 Lu    159946033.000      61.000
 88   72  160 Hf    159950682.728      10.241
 87   73  160 Ta    159961541.678      58.310
 86   74  160 W     159968513.946     160.828
 85   75  160 Re    159981880#        322#
102   59  161 Pr    160965121#        537#
101   60  161 Nd    160954664#        429#
100   61  161 Pm    160946229.837       9.700
 99   62  161 Sm    160939160.062       7.318
 98   63  161 Eu    160933663.991      11.164
 97   64  161 Gd    160929676.267       1.614
 96   65  161 Tb    160927576.806       1.308
 95   66  161 Dy    160926939.425       0.748
 94   67  161 Ho    160927861.815       2.309
 93   68  161 Er    160930003.530       9.419
 92   69  161 Tm    160933549.000      30.000
 91   70  161 Yb    160937912.384      16.211
 90   71  161 Lu    160943572.000      30.000
 89   72  161 Hf    160950277.927      25.174
 88   73  161 Ta    160958369.489      26.174
 87   74  161 W     160967249#        215#
 86   75  161 Re    160977624.313     160.930
 85   76  161 Os    160989054#        429#
102   60  162 Nd    161958121#        429#
101   61  162 Pm    161950574#        322#
100   62  162 Sm    161941621.687       3.782
 99   63  162 Eu    161936958.329       1.410
 98   64  162 Gd    161930991.812       4.254
 97   65  162 Tb    161929275.400       2.200
 96   66  162 Dy    161926804.507       0.746
 95   67  162 Ho    161929102.543       3.330
 94   68  162 Er    161928787.299       0.811
 93   69  162 Tm    161934001.211      27.974
 92   70  162 Yb    161935779.342      16.213
 91   71  162 Lu    161943282.776      80.554
 90   72  162 Hf    161947215.526       9.610
 89   73  162 Ta    161957292.907      67.979
 88   74  162 W     161963500.341      18.955
 87   75  162 Re    161975896#        215#
 86   76  162 Os    161984434#        322#
103   60  163 Nd    162963414#        537#
102   61  163 Pm    162953881#        429#
101   62  163 Sm    162945679.085       7.900
100   63  163 Eu    162939265.510       0.970
 99   64  163 Gd    162934096.640       0.855
 98   65  163 Tb    162930653.609       4.358
 97   66  163 Dy    162928737.221       0.744
 96   67  163 Ho    162928740.260       0.744
 95   68  163 Er    162930039.908       4.967
 94   69  163 Tm    162932658.282       5.920
 93   70  163 Yb    162936345.406      16.215
 92   71  163 Lu    162941179.000      30.000
 91   72  163 Hf    162947107.211      27.582
 90   73  163 Ta    162954337.194      40.860
 89   74  163 W     162962524.251      62.722
 88   75  163 Re    162972085.434      19.897
 87   76  163 Os    162982462#        322#
 86   77  163 Ir    162994299#        429#
103   61  164 Pm    163958819#        429#
102   62  164 Sm    163948550.061       4.400
101   63  164 Eu    163942852.943       2.219
100   64  164 Gd    163935916.193       1.073
 99   65  164 Tb    163933327.561       2.000
 98   66  164 Dy    163929180.819       0.746
 97   67  164 Ho    163930240.548       1.492
 96   68  164 Er    163929207.739       0.755
 95   69  164 Tm    163933538.019      26.845
 94   70  164 Yb    163934500.743      16.217
 93   71  164 Lu    163941339.000      30.000
 92   72  164 Hf    163944370.709      16.975
 91   73  164 Ta    163953534.000      30.000
 90   74  164 W     163958952.445      10.384
 89   75  164 Re    163970507.122      58.566
 88   76  164 Os    163978073.158     160.927
 87   77  164 Ir    163991966#        339#
104   61  165 Pm    164962780#        537#
103   62  165 Sm    164953290#        429#
102   63  165 Eu    164945540.070       5.596
101   64  165 Gd    164939317.080       1.400
100   65  165 Tb    164934955.198       1.654
 99   66  165 Dy    164931709.402       0.748
 98   67  165 Ho    164930329.116       0.844
 97   68  165 Er    164930733.482       0.985
 96   69  165 Tm    164932441.843       1.779
 95   70  165 Yb    164935270.241      28.490
 94   71  165 Lu    164939406.758      28.490
 93   72  165 Hf    164944567.000      30.000
 92   73  165 Ta    164950780.287      14.571
 91   74  165 W     164958280.663      27.649
 90   75  165 Re    164967085.831      25.328
 89   76  165 Os    164976654#        215#
 88   77  165 Ir    164987552#        170#
 87   78  165 Pt    164999658#        429#
104   62  166 Sm    165956575#        429#
103   63  166 Eu    165949813#        107#
102   64  166 Gd    165941630.413       1.700
101   65  166 Tb    165937939.727       1.570
100   66  166 Dy    165932812.810       0.862
 99   67  166 Ho    165932291.209       0.844
 98   68  166 Er    165930301.067       0.358
 97   69  166 Tm    165933562.136      12.401
 96   70  166 Yb    165933876.439       7.515
 95   71  166 Lu    165939859.000      32.000
 94   72  166 Hf    165942180.000      30.000
 93   73  166 Ta    165950512.000      30.000
 92   74  166 W     165955031.952      10.159
 91   75  166 Re    165965821.216      94.731
 90   76  166 Os    165972698.135      19.287
 89   77  166 Ir    165985716#        215#
 88   78  166 Pt    165994866#        322#
105   62  167 Sm    166962072#        537#
104   63  167 Eu    166953011#        429#
103   64  167 Gd    166945490.012       5.596
102   65  167 Tb    166940007.046       2.071
101   66  167 Dy    166935682.415       4.300
100   67  167 Ho    166933140.254       5.570
 99   68  167 Er    166932056.192       0.306
 98   69  167 Tm    166932857.206       1.350
 97   70  167 Yb    166934954.069       4.251
 96   71  167 Lu    166938243.000      40.000
 95   72  167 Hf    166942600.000      30.000
 94   73  167 Ta    166948093.000      30.000
 93   74  167 W     166954811.080      20.078
 92   75  167 Re    166962604#         43#
 91   76  167 Os    166971552.304      86.841
 90   77  167 Ir    166981671.973      19.694
 89   78  167 Pt    166992750#        329#
106   62  168 Sm    167966033#        322#
105   63  168 Eu    167957863#        429#
104   64  168 Gd    167948309#        322#
103   65  168 Tb    167943337.074       4.500
102   66  168 Dy    167937134.977     150.303
101   67  168 Ho    167935523.766      32.207
100   68  168 Er    167932378.282       0.280
 99   69  168 Tm    167934178.457       1.800
 98   70  168 Yb    167933891.297       0.100
 97   71  168 Lu    167938729.798      40.766
 96   72  168 Hf    167940568.000      30.000
 95   73  168 Ta    167948047.000      30.000
 94   74  168 W     167951805.459      14.233
 93   75  168 Re    167961572.607      33.087
 92   76  168 Os    167967799.050      10.631
 91   77  168 Ir    167979960.978      59.277
 90   78  168 Pt    167988180.196     160.960
 89   79  168 Au    168002716#        429#
106   63  169 Eu    168961717#        537#
105   64  169 Gd    168952882#        429#
104   65  169 Tb    168945807#        322#
103   66  169 Dy    168940315.231     322.781
102   67  169 Ho    168936879.890      21.522
101   68  169 Er    168934598.444       0.326
100   69  169 Tm    168934218.956       0.792
 99   70  169 Yb    168935184.208       0.191
 98   71  169 Lu    168937645.845       3.226
 97   72  169 Hf    168941259.000      30.000
 96   73  169 Ta    168946011.000      30.000
 95   74  169 W     168951778.689      16.571
 94   75  169 Re    168958765.979      12.204
 93   76  169 Os    168967017.521      27.847
 92   77  169 Ir    168976281.743      25.020
 91   78  169 Pt    168986619#        215#
 90   79  169 Au    168998080#        320#
107   63  170 Eu    169966870#        537#
106   64  170 Gd    169956146#        537#
105   65  170 Tb    169949855#        322#
104   66  170 Dy    169942340#        215#
103   67  170 Ho    169939626.548      53.697
102   68  170 Er    169935471.933       1.488
101   69  170 Tm    169935807.093       0.785
100   70  170 Yb    169934767.242       0.011
 99   71  170 Lu    169938479.230      18.081
 98   72  170 Hf    169939609.000      30.000
 97   73  170 Ta    169946175.000      30.000
 96   74  170 W     169949231.235      14.165
 95   75  170 Re    169958234.844      12.267
 94   76  170 Os    169963579.273      10.476
 93   77  170 Ir    169975113#        109#
 92   78  170 Pt    169982502.087      19.588
 91   79  170 Au    169996024#        216#
 90   80  170 Hg    170005814#        324#
107   64  171 Gd    170961127#        537#
106   65  171 Tb    170953011#        429#
105   66  171 Dy    170946312#        215#
104   67  171 Ho    170941472.713     644.128
103   68  171 Er    170938037.372       1.511
102   69  171 Tm    170936435.162       1.043
101   70  171 Yb    170936331.515       0.013
100   71  171 Lu    170937918.591       1.999
 99   72  171 Hf    170940492.000      31.000
 98   73  171 Ta    170944476.000      30.000
 97   74  171 W     170949451.000      30.000
 96   75  171 Re    170955716.000      30.000
 95   76  171 Os    170963180.402      19.589
 94   77  171 Ir    170971645.520      41.295
 93   78  171 Pt    170981248.868      86.904
 92   79  171 Au    170991881.533      22.236
 91   80  171 Hg    171003585#        329#
108   64  172 Gd    171964605#        322#
107   65  172 Tb    171957391#        537#
106   66  172 Dy    171948728#        322#
105   67  172 Ho    171944730#        210#
104   68  172 Er    171939363.461       4.253
103   69  172 Tm    171938406.959       5.884
102   70  172 Yb    171936386.654       0.014
101   71  172 Lu    171939091.320       2.507
100   72  172 Hf    171939449.716      26.224
 99   73  172 Ta    171944895.000      30.000
 98   74  172 W     171947292.000      30.000
 97   75  172 Re    171955376.165      38.183
 96   76  172 Os    171960017.309      13.704
 95   77  172 Ir    171970607.035      34.785
 94   78  172 Pt    171977341.059      11.139
 93   79  172 Au    171989996.704      60.287
 92   80  172 Hg    171998860.581     161.098
108   65  173 Tb    172960805#        537#
107   66  173 Dy    172953043#        429#
106   67  173 Ho    172947020#        320#
105   68  173 Er    172942400#        210#
104   69  173 Tm    172939606.630       4.723
103   70  173 Yb    172938216.211       0.012
102   71  173 Lu    172938935.722       1.682
101   72  173 Hf    172940513.000      30.000
100   73  173 Ta    172943750.000      30.000
 99   74  173 W     172947689.000      30.000
 98   75  173 Re    172953243.000      30.000
 97   76  173 Os    172959808.387      16.059
 96   77  173 Ir    172967505.477      11.316
 95   78  173 Pt    172976449.922      68.096
 94   79  173 Au    172986224.263      24.458
 93   80  173 Hg    172997143#        215#
109   65  174 Tb    173965679#        537#
108   66  174 Dy    173955845#        537#
107   67  174 Ho    173950757#        322#
106   68  174 Er    173944230#        320#
105   69  174 Tm    173942174.061      48.010
104   70  174 Yb    173938867.545       0.011
103   71  174 Lu    173940342.840       1.682
102   72  174 Hf    173940048.377       2.425
101   73  174 Ta    173944454.000      30.000
100   74  174 W     173946079.000      30.000
 99   75  174 Re    173953115.000      30.000
 98   76  174 Os    173957063.192      11.008
 97   77  174 Ir    173966949.939      12.046
 96   78  174 Pt    173972820.431      11.098
 95   79  174 Au    173984908#        109#
 94   80  174 Hg    173992870.575      20.623
109   66  175 Dy    174960569#        537#
108   67  175 Ho    174953516#        429#
107   68  175 Er    174947770#        430#
106   69  175 Tm    174943842.310      53.677
105   70  175 Yb    174941281.907       0.076
104   71  175 Lu    174940777.211       1.295
103   72  175 Hf    174941511.424       2.450
102   73  175 Ta    174943737.000      30.000
101   74  175 W     174946717.000      30.000
100   75  175 Re    174951381.000      30.000
 99   76  175 Os    174956945.126      12.640
 98   77  175 Ir    174964149.519      13.295
 97   78  175 Pt    174972400.593      19.982
 96   79  175 Au    174981316.375      41.399
 95   80  175 Hg    174991444.451      87.047
110   66  176 Dy    175963918#        537#
109   67  176 Ho    175957713#        537#
108   68  176 Er    175949940#        430#
107   69  176 Tm    175946997.707     107.354
106   70  176 Yb    175942574.706       0.015
105   71  176 Lu    175942691.711       1.301
104   72  176 Hf    175941409.797       1.591
103   73  176 Ta    175944857.000      33.000
102   74  176 W     175945634.000      30.000
101   75  176 Re    175951623.000      30.000
100   76  176 Os    175954770.315      11.754
 99   77  176 Ir    175963626.261       8.679
 98   78  176 Pt    175968938.162      13.647
 97   79  176 Au    175980116.925      35.625
 96   80  176 Hg    175987348.670      11.936
 95   81  176 Tl    176000627.731      89.166
110   67  177 Ho    176961052#        537#
109   68  177 Er    176953990#        540#
108   69  177 Tm    176948932#        215#
107   70  177 Yb    176945263.846       0.236
106   71  177 Lu    176943763.570       1.310
105   72  177 Hf    176943230.187       1.514
104   73  177 Ta    176944481.940       3.558
103   74  177 W     176946643.000      30.000
102   75  177 Re    176950328.000      30.000
101   76  177 Os    176954957.902      15.687
100   77  177 Ir    176961301.500      21.213
 99   78  177 Pt    176968469.541      16.090
 98   79  177 Au    176976869.701      10.700
 97   80  177 Hg    176986284.590      90.952
 96   81  177 Tl    176996414.252      23.218
111   67  178 Ho    177965507#        537#
110   68  178 Er    177956779#        640#
109   69  178 Tm    177952506#        322#
108   70  178 Yb    177946669.400       7.072
107   71  178 Lu    177945960.065       2.416
106   72  178 Hf    177943708.322       1.519
105   73  178 Ta    177945680#         56#
104   74  178 W     177945885.791      16.316
103   75  178 Re    177950989.000      30.000
102   76  178 Os    177953253.334      14.634
101   77  178 Ir    177961079.395      20.204
100   78  178 Pt    177965649.288      10.878
 99   79  178 Au    177976056.714      11.000
 98   80  178 Hg    177982484.756      11.548
 97   81  178 Tl    177995047#        110#
 96   82  178 Pb    178003836.171      24.889
111   68  179 Er    178961267#        537#
110   69  179 Tm    178955018#        429#
109   70  179 Yb    178949930#        215#
108   71  179 Lu    178947332.985       5.528
107   72  179 Hf    178945825.705       1.520
106   73  179 Ta    178945939.050       1.574
105   74  179 W     178947079.378      15.644
104   75  179 Re    178949989.686      26.450
103   76  179 Os    178953815.985      16.645
102   77  179 Ir    178959117.594      10.489
101   78  179 Pt    178965358.742       8.563
100   79  179 Au    178973173.666      12.555
 99   80  179 Hg    178981821.759      30.188
 98   81  179 Tl    178991122.185      41.495
 97   82  179 Pb    179002202.492      87.203
112   68  180 Er    179964380#        537#
111   69  180 Tm    179959023#        429#
110   70  180 Yb    179951991#        322#
109   71  180 Lu    179949890.744      75.926
108   72  180 Hf    179946559.537       1.525
107   73  180 Ta    179947467.589       2.219
106   74  180 W     179946713.304       1.545
105   75  180 Re    179950791.568      22.965
104   76  180 Os    179952381.665      16.878
103   77  180 Ir    179959229.446      23.302
102   78  180 Pt    179963038.010      10.790
101   79  180 Au    179972489.738       5.108
100   80  180 Hg    179978260.180      13.574
 99   81  180 Tl    179989918.950      75.058
 98   82  180 Pb    179997916.177      13.306
112   69  181 Tm    180961954#        537#
111   70  181 Yb    180955890#        320#
110   71  181 Lu    180951908.000     135.000
109   72  181 Hf    180949110.834       1.527
108   73  181 Ta    180947998.528       1.692
107   74  181 W     180948218.733       1.554
106   75  181 Re    180950061.507      13.471
105   76  181 Os    180953247.188      27.201
104   77  181 Ir    180957634.691       5.631
103   78  181 Pt    180963089.946      14.695
102   79  181 Au    180970079.102      21.445
101   80  181 Hg    180977819.368      16.513
100   81  181 Tl    180986259.978       9.771
 99   82  181 Pb    180996660.600      91.290
113   69  182 Tm    181966194#        537#
112   70  182 Yb    181958239#        429#
111   71  182 Lu    181955158#        215#
110   72  182 Hf    181950563.684       6.619
109   73  182 Ta    181950154.612       1.693
108   74  182 W     181948205.636       0.799
107   75  182 Re    181951211.560     109.483
106   76  182 Os    181952110.154      23.344
105   77  182 Ir    181958076.296      22.509
104   78  182 Pt    181961171.605      14.057
103   79  182 Au    181969614.433      20.143
102   80  182 Hg    181974689.173      10.510
101   81  182 Tl    181985692.649      12.856
100   82  182 Pb    181992673.537      12.975
113   70  183 Yb    182962426#        429#
112   71  183 Lu    182957363.000      86.000
111   72  183 Hf    182953533.203      32.251
110   73  183 Ta    182951375.380       1.707
109   74  183 W     182950224.416       0.798
108   75  183 Re    182950821.306       8.625
107   76  183 Os    182953125.028      53.428
106   77  183 Ir    182956841.231      26.486
105   78  183 Pt    182961595.895      15.261
104   79  183 Au    182967588.106      10.116
103   80  183 Hg    182974444.652       7.604
102   81  183 Tl    182982192.843      10.017
101   82  183 Pb    182991862.527      31.110
114   70  184 Yb    183965002#        540#
113   71  184 Lu    183961030#        215#
112   72  184 Hf    183955448.507      42.625
111   73  184 Ta    183954009.958      27.923
110   74  184 W     183950933.180       0.792
109   75  184 Re    183952528.073       4.590
108   76  184 Os    183952492.919       0.890
107   77  184 Ir    183957476.000      30.000
106   78  184 Pt    183959921.929      15.828
105   79  184 Au    183967451.523      23.912
104   80  184 Hg    183971717.709      10.235
103   81  184 Tl    183981874.973      10.747
102   82  184 Pb    183988135.634      13.743
101   83  184 Bi    184001347#        131#
115   70  185 Yb    184969425#        537#
114   71  185 Lu    184963542#        322#
113   72  185 Hf    184958862.000      69.000
112   73  185 Ta    184955561.317      15.202
111   74  185 W     184953421.206       0.793
110   75  185 Re    184952958.320       0.879
109   76  185 Os    184954045.969       0.893
108   77  185 Ir    184956698.000      30.000
107   78  185 Pt    184960613.659      27.731
106   79  185 Au    184965798.871       2.800
105   80  185 Hg    184971890.696      14.641
104   81  185 Tl    184978789.189      22.194
103   82  185 Pb    184987610.000      17.364
102   83  185 Bi    184997600#         87#
115   71  186 Lu    185967450#        429#
114   72  186 Hf    185960897.000      55.000
113   73  186 Ta    185958553.036      64.425
112   74  186 W     185954365.140       1.302
111   75  186 Re    185954989.172       0.880
110   76  186 Os    185953837.569       0.816
109   77  186 Ir    185957946.754      17.740
108   78  186 Pt    185959350.845      23.344
107   79  186 Au    185965952.703      22.509
106   80  186 Hg    185969362.061      12.507
105   81  186 Tl    185978654.787      22.276
104   82  186 Pb    185984239.409      11.813
103   83  186 Bi    185996623.169      18.200
102   84  186 Po    186004403.174      19.622
116   71  187 Lu    186970188#        429#
115   72  187 Hf    186964573#        215#
114   73  187 Ta    186960391.000      60.000
113   74  187 W     186957161.249       1.302
112   75  187 Re    186955752.217       0.791
111   76  187 Os    186955749.569       0.791
110   77  187 Ir    186957542.000      30.000
109   78  187 Pt    186960616.646      25.837
108   79  187 Au    186964542.147      24.153
107   80  187 Hg    186969813.540      13.810
106   81  187 Tl    186975904.740       8.640
105   82  187 Pb    186983910.842       5.468
104   83  187 Bi    186993147.272      10.740
103   84  187 Po    187003031.482      35.030
117   71  188 Lu    187974428#        429#
116   72  188 Hf    187966903#        322#
115   73  188 Ta    187963596#        215#
114   74  188 W     187958488.325       3.316
113   75  188 Re    187958113.658       0.792
112   76  188 Os    187955837.292       0.788
111   77  188 Ir    187958834.999      10.116
110   78  188 Pt    187959397.521       5.694
109   79  188 Au    187965247.966       2.900
108   80  188 Hg    187967580.738       7.285
107   81  188 Tl    187976020.886      32.103
106   82  188 Pb    187980879.079      10.868
105   83  188 Bi    187992276.064      12.001
104   84  188 Po    187999415.586      21.438
117   72  189 Hf    188970853#        322#
116   73  189 Ta    188965690#        215#
115   74  189 W     188961557#        215#
114   75  189 Re    188959227.764       8.793
113   76  189 Os    188958145.949       0.715
112   77  189 Ir    188958722.602      13.500
111   78  189 Pt    188960848.485      10.832
110   79  189 Au    188963948.286      21.558
109   80  189 Hg    188968194.776      33.873
108   81  189 Tl    188973573.525       8.983
107   82  189 Pb    188980843.658      15.096
106   83  189 Bi    188989195.139      22.384
105   84  189 Po    188998473.425      23.681
118   72  190 Hf    189973376#        429#
117   73  190 Ta    189969168#        215#
116   74  190 W     189963103.542      37.993
115   75  190 Re    189961800.064       5.227
114   76  190 Os    189958445.442       0.697
113   77  190 Ir    189960543.374       1.470
112   78  190 Pt    189959949.823       0.705
111   79  190 Au    189964751.746       3.700
110   80  190 Hg    189966322.250      17.076
109   81  190 Tl    189973841.771       7.784
108   82  190 Pb    189978081.872      13.434
107   83  190 Bi    189988624.828      22.515
106   84  190 Po    189995101.731      14.131
118   73  191 Ta    190971530#        322#
117   74  191 W     190966531.000      45.000
116   75  191 Re    190963123.322      11.019
115   76  191 Os    190960928.105       0.707
114   77  191 Ir    190960591.455       1.406
113   78  191 Pt    190961676.261       4.430
112   79  191 Au    190963716.452       5.288
111   80  191 Hg    190967158.301      23.918
110   81  191 Tl    190971784.093       7.889
109   82  191 Pb    190978216.455       7.099
108   83  191 Bi    190985786.972       8.037
107   84  191 Po    190994558.494       7.624
106   85  191 At    191004148.081      17.287
119   73  192 Ta    191975201#        429#
118   74  192 W     191968202#        215#
117   75  192 Re    191966088.000      76.000
116   76  192 Os    191961478.765       2.484
115   77  192 Ir    191962602.414       1.410
114   78  192 Pt    191961042.667       2.758
113   79  192 Au    191964817.615      16.991
112   80  192 Hg    191965634.263      16.679
111   81  192 Tl    191972225.000      34.000
110   82  192 Pb    191975789.598       6.147
109   83  192 Bi    191985470.077      32.326
108   84  192 Po    191991340.274      11.416
107   85  192 At    192003140.912      29.922
120   73  193 Ta    192977660#        429#
119   74  193 W     192971884#        215#
118   75  193 Re    192967545.000      42.000
117   76  193 Os    192964149.637       2.490
116   77  193 Ir    192962923.753       1.425
115   78  193 Pt    192962984.546       1.458
114   79  193 Au    192964138.442       9.311
113   80  193 Hg    192966653.395      16.645
112   81  193 Tl    192970501.994       7.200
111   82  193 Pb    192976135.914      11.044
110   83  193 Bi    192982947.220       8.132
109   84  193 Po    192991062.421      15.599
108   85  193 At    192999927.725      23.222
107   86  193 Rn    193009707.973      26.958
121   73  194 Ta    193981610#        537#
120   74  194 W     193973795#        322#
119   75  194 Re    193970735#        215#
118   76  194 Os    193965179.407       2.579
117   77  194 Ir    193965075.703       1.429
116   78  194 Pt    193962683.498       0.532
115   79  194 Au    193965419.051       2.273
114   80  194 Hg    193965449.108       3.100
113   81  194 Tl    193971081.408      15.000
112   82  194 Pb    193974011.788      18.717
111   83  194 Bi    193982798.581       5.638
110   84  194 Po    193988186.058      13.860
109   85  194 At    193999230.816      25.230
108   86  194 Rn    194006145.636      17.884
121   74  195 W     194977735#        322#
120   75  195 Re    194972560#        322#
119   76  195 Os    194968318.000      60.000
118   77  195 Ir    194965976.898       1.431
117   78  195 Pt    194964794.325       0.540
116   79  195 Au    194965037.823       1.201
115   80  195 Hg    194966705.809      24.843
114   81  195 Tl    194969774.052      11.944
113   82  195 Pb    194974516.167       5.461
112   83  195 Bi    194980648.759       5.675
111   84  195 Po    194988065.781       6.486
110   85  195 At    194996274.480      10.276
109   86  195 Rn    195005421.703      55.487
122   74  196 W     195979882#        429#
121   75  196 Re    195975996#        322#
120   76  196 Os    195969643.261      43.000
119   77  196 Ir    195968399.669      41.239
118   78  196 Pt    195964954.648       0.547
117   79  196 Au    195966571.213       3.179
116   80  196 Hg    195965833.445       3.163
115   81  196 Tl    195970481.189      13.000
114   82  196 Pb    195972787.552       8.277
113   83  196 Bi    195980666.509      26.224
112   84  196 Po    195985540.722       5.778
111   85  196 At    195995799.034      32.458
110   86  196 Rn    196002120.431      15.087
123   74  197 W     196984036#        429#
122   75  197 Re    196978153#        322#
121   76  197 Os    196973076#        215#
120   77  197 Ir    196969657.217      21.588
119   78  197 Pt    196967343.030       0.575
118   79  197 Au    196966570.103       0.581
117   80  197 Hg    196967213.715       3.442
116   81  197 Tl    196969560.492      14.573
115   82  197 Pb    196973434.737       5.157
114   83  197 Bi    196978864.927       8.946
113   84  197 Po    196985621.939      10.585
112   85  197 At    196993177.353       8.570
111   86  197 Rn    197001621.446      17.383
110   87  197 Fr    197011008.086      60.584
123   75  198 Re    197981760#        429#
122   76  198 Os    197974664#        215#
121   77  198 Ir    197972399#        215#
120   78  198 Pt    197967896.718       2.254
119   79  198 Au    197968243.714       0.579
118   80  198 Hg    197966769.177       0.491
117   81  198 Tl    197970446.669       8.100
116   82  198 Pb    197972015.450       9.393
115   83  198 Bi    197979201.316      29.598
114   84  198 Po    197983388.753      18.705
113   85  198 At    197992797.864       5.265
112   86  198 Rn    197998679.197      14.406
111   87  198 Fr    198010282.081      33.419
124   75  199 Re    198984187#        429#
123   76  199 Os    198978239#        215#
122   77  199 Ir    198973807.097      44.073
121   78  199 Pt    198970597.022       2.317
120   79  199 Au    198968766.573       0.581
119   80  199 Hg    198968280.994       0.564
118   81  199 Tl    198969877.000      30.000
117   82  199 Pb    198972912.620       7.322
116   83  199 Bi    198977672.841      11.395
115   84  199 Po    198983640.445       5.828
114   85  199 At    198990527.715       5.780
113   86  199 Rn    198998325.436       7.833
112   87  199 Fr    199007269.384      14.734
124   76  200 Os    199980086#        322#
123   77  200 Ir    199976844#        210#
122   78  200 Pt    199971444.609      21.588
121   79  200 Au    199970756.558      28.681
120   80  200 Hg    199968326.941       0.568
119   81  200 Tl    199970963.608       6.182
118   82  200 Pb    199971818.546      10.744
117   83  200 Bi    199978131.290      24.370
116   84  200 Po    199981812.355       8.136
115   85  200 At    199990351.099      26.264
114   86  200 Rn    199995705.335       6.217
113   87  200 Fr    200006584.666      32.769
125   76  201 Os    200984069#        322#
124   77  201 Ir    200978701#        215#
123   78  201 Pt    200974513.305      53.788
122   79  201 Au    200971657.678       3.455
121   80  201 Hg    200970303.054       0.763
120   81  201 Tl    200970820.235      15.228
119   82  201 Pb    200972870.431      14.758
118   83  201 Bi    200976995.017      13.072
117   84  201 Po    200982263.799       5.305
116   85  201 At    200988417.058       8.786
115   86  201 Rn    200995590.511      10.865
114   87  201 Fr    201003852.491       9.747
113   88  201 Ra    201012814.699      21.794
126   76  202 Os    201986548#        429#
125   77  202 Ir    201982136#        322#
124   78  202 Pt    201975639.000      27.000
123   79  202 Au    201973856.000      25.000
122   80  202 Hg    201970643.604       0.757
121   81  202 Tl    201972108.874       1.972
120   82  202 Pb    201972151.613       4.075
119   83  202 Bi    201977723.042      15.032
118   84  202 Po    201980738.934       9.307
117   85  202 At    201988625.686      29.631
116   86  202 Rn    201993263.982      18.808
115   87  202 Fr    202003329.637       6.476
114   88  202 Ra    202009742.305      16.122
127   76  203 Os    202992195#        429#
126   77  203 Ir    202984573#        429#
125   78  203 Pt    202979055#        215#
124   79  203 Au    202975154.492       3.309
123   80  203 Hg    202972872.396       1.750
122   81  203 Tl    202972344.098       1.257
121   82  203 Pb    202973390.617       7.036
120   83  203 Bi    202976892.077      13.717
119   84  203 Po    202981416.072       4.981
118   85  203 At    202986942.904      11.404
117   86  203 Rn    202993361.155       6.242
116   87  203 Fr    203000940.867       6.689
115   88  203 Ra    203009233.907      10.400
127   77  204 Ir    203989726#        429#
126   78  204 Pt    203981084#        215#
125   79  204 Au    203978110#        215#
124   80  204 Hg    203973494.037       0.534
123   81  204 Tl    203973863.420       1.238
122   82  204 Pb    203973043.506       1.231
121   83  204 Bi    203977835.687       9.854
120   84  204 Po    203980310.078      10.811
119   85  204 At    203987251.393      24.335
118   86  204 Rn    203991443.729       7.991
117   87  204 Fr    204000651.972      26.389
116   88  204 Ra    204006506.855       9.580
128   77  205 Ir    204993988#        537#
