N    Z    A    Elt.   Mass                        
 29   25   54 Mn     53940355.772       1.080
 28   26   54 Fe     53939608.189       0.368
 27   27   54 Co     53948459.075       0.380
 26   28   54 Ni     53957833.000       5.000
 25   29   54 Cu     53977198#        429#
 24   30   54 Zn     53993879#        232#
 36   19   55 K      55000505#        537#
 35   20   55 Ca     54979978.000     172.000
 34   21   55 Sc     54966889.637      67.000
 33   22   55 Ti     54955091.000      31.000
 32   23   55 V      54947262.000      29.000
 31   24   55 Cr     54940836.637       0.245
 30   25   55 Mn     54938043.040       0.279
 29   26   55 Fe     54938291.158       0.330
 28   27   55 Co     54941996.416       0.434
 27   28   55 Ni     54951329.846       0.757
 26   29   55 Cu     54966038.000     167.000
 25   30   55 Zn     54984681#        429#
 37   19   56 K      56008567#        644#
 36   20   56 Ca     55985496.000     268.000
 35   21   56 Sc     55972607.611     278.761
 34   22   56 Ti     55957677.675     107.569
 33   23   56 V      55950420.082     188.819
 32   24   56 Cr     55940648.977       0.620
 31   25   56 Mn     55938902.816       0.314
 30   26   56 Fe     55934935.537       0.287
 29   27   56 Co     55939838.032       0.510
 28   28   56 Ni     55942127.761       0.428
 27   29   56 Cu     55958529.278       6.864
 26   30   56 Zn     55972743#        429#
 25   31   56 Ga     55995878#        537#
 38   19   57 K      57015169#        644#
 37   20   57 Ca     56992958#        429#
 36   21   57 Sc     56977048.000     193.000
 35   22   57 Ti     56963068.098     221.020
 34   23   57 V      56952297.000      91.000
 33   24   57 Cr     56943612.112       2.000
 32   25   57 Mn     56938285.944       1.615
 31   26   57 Fe     56935391.950       0.287
 30   27   57 Co     56936289.819       0.553
 29   28   57 Ni     56939791.394       0.608
 28   29   57 Cu     56949211.686       0.537
 27   30   57 Zn     56965056#        215#
 26   31   57 Ga     56983457#        429#
 39   19   58 K      58023543#        751#
 38   20   58 Ca     57998357#        537#
 37   21   58 Sc     57983382.000     204.000
 36   22   58 Ti     57966808.519     196.823
 35   23   58 V      57956595.985     102.862
 34   24   58 Cr     57944184.501       3.200
 33   25   58 Mn     57940066.643       2.900
 32   26   58 Fe     57933273.575       0.339
 31   27   58 Co     57935751.292       1.237
